   13    ; 71  ; 72  ; 70  ; 70  ; 70  ; 71 ; 73  ; 72  ; 72  ; 71  
   14    ; 77  ; 75  ; 77  ; 76  ; 74  ; 76 ; 77  ; 81  ; 77  ; 77  
   15    ; 79  ; 79  ; 81  ; 81  ; 82  ; 82 ; 80  ; 82  ; 81  ; 80  
   16    ; 85  ; 84  ; 88  ; 88  ; 87  ; 84 ; 85  ; 89  ; 87  ; 97  
   17    ; 100 ; 96  ; 92  ; 98  ; 96  ; 89 ; 89  ; 101 ; 93  ; 90  
   18    ; 95  ; 97  ; 97  ; 95  ; 94  ; 98 ; 96  ; 95  ; 95  ; 95  
   19    ; 101 ; 101 ; 100 ; 102 ; 104 ; 99 ; 100 ; 102 ; 102 ; 103 


    0    ; 43  ; 36  ; 36  ; 37  ; 34  ; 34  ; 35  ; 35  ; 33  ; 35  
    1    ; 61  ; 62  ; 62  ; 62  ; 63  ; 62  ; 62  ; 64  ; 62  ; 63  
    2    ; 91  ; 93  ; 91  ; 91  ; 91  ; 93  ; 90  ; 91  ; 94  ; 94  
    3    ; 121 ; 123 ; 122 ; 122 ; 122 ; 122 ; 127 ; 123 ; 124 ; 123 
    4    ; 149 ; 148 ; 149 ; 163 ; 159 ; 149 ; 150 ; 149 ; 149 ; 148 
    5    ; 177 ; 179 ; 176 ; 177 ; 178 ; 177 ; 178 ; 180 ; 179 ; 177 
    6    ; 211 ; 207 ; 206 ; 208 ; 209 ; 206 ; 209 ; 209 ; 206 ; 210 
    7    ; 235 ; 236 ; 238 ; 235 ; 235 ; 245 ; 236 ; 237 ; 239 ; 236 
    8    ; 267 ; 264 ; 266 ; 263 ; 266 ; 265 ; 267 ; 268 ; 268 ; 277 
    9    ; 291 ; 294 ; 297 ; 295 ; 292 ; 295 ; 293 ; 296 ; 295 ; 296 
   10    ; 321 ; 323 ; 336 ; 324 ; 322 ; 333 ; 325 ; 325 ; 324 ; 325 
   11    ; 353 ; 355 ; 354 ; 352 ; 358 ; 355 ; 367 ; 353 ; 352 ; 356 
   12    ; 380 ; 383 ; 382 ; 391 ; 382 ; 381 ; 383 ; 388 ; 382 ; 382 
   13    ; 411 ; 410 ; 422 ; 412 ; 412 ; 411 ; 411 ; 412 ; 420 ; 416 
   14    ; 442 ; 441 ; 440 ; 442 ; 440 ; 443 ; 441 ; 440 ; 449 ; 440 
   15    ; 473 ; 466 ; 470 ; 468 ; 478 ; 465 ; 471 ; 474 ; 472 ; 471 
   16    ; 498 ; 498 ; 498 ; 498 ; 501 ; 499 ; 502 ; 514 ; 499 ; 501 
   17    ; 535 ; 690 ; 651 ; 666 ; 656 ; 654 ; 646 ; 637 ; 599 ; 585 
   18    ; 604 ; 595 ; 597 ; 597 ; 588 ; 579 ; 578 ; 596 ; 587 ; 590 
   19    ; 638 ; 623 ; 621 ; 606 ; 602 ; 604 ; 607 ; 608 ; 608 ; 602 
